what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1327857277643
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1327857277662
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1327857277713
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1327857277741
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1327857277814
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1327857277826
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1327857277873
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1327857277923
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1327857277934
started,bundle,org.eclipse.egit.core,0.11.1,"org.eclipse.egit.core",1327857277972
started,bundle,org.eclipse.egit.ui,0.11.1,"org.eclipse.egit.ui",1327857278105
started,bundle,org.eclipse.jgit,0.11.1,"org.eclipse.jgit",1327857278105
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.4.v20111106-0100,"org.eclipse.mylyn.bugzilla.core",1327857278153
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1327857278189
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1327857278228
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1327857278228
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1327857278297
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1327857278342
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1327857278424
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1327857278466
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1327857278596
os,sysinfo,,,"macosx",1327857278599
arch,sysinfo,,,"x86",1327857278599
ws,sysinfo,,,"cocoa",1327857278599
locale,sysinfo,,,"en_US",1327857278599
processors,sysinfo,,,"2",1327857278599
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1327857278599
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-10M3527",1327857278599
java.specification.name,sysinfo,,,"Java Platform API Specification",1327857278599
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1327857278599
java.specification.version,sysinfo,,,"1.6",1327857278599
java.vendor,sysinfo,,,"Apple Inc.",1327857278599
java.version,sysinfo,,,"1.6.0_29",1327857278599
java.vm.info,sysinfo,,,"mixed mode",1327857278599
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1327857278599
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1327857278599
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1327857278599
java.vm.specification.version,sysinfo,,,"1.0",1327857278599
java.vm.vendor,sysinfo,,,"Apple Inc.",1327857278599
java.vm.version,sysinfo,,,"20.4-b02-402",1327857278599
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1327857279088
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1327857279250
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1327857279531
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1327857279795
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1327857279856
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1327857280084
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1327857280172
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1327857280429
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1327857285503
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1327857285521
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1327857285564
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1327857285604
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327857285618
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327857287918
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1327857290618
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1327857290798
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1327857290953
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1327857293946
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1327857294004
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1327857294099
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100906-1425,"org.eclipse.ecf.identity",1327857294192
started,bundle,org.eclipse.ecf,3.1.0.v20100906-1425,"org.eclipse.ecf",1327857294374
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1327857294410
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer",1327857294414
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327857294604
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1327857323456
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1327857325684
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1327857325715
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327857332350
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1327857332376
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327857332695
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.200.v20100505,"org.eclipse.equinox.frameworkadmin.equinox",1327857347007
error,log,,,"An error occurred while installing the items",1327857347070
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327857387690
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327857401506
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327857742317
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.update",1327857749646
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327857749926
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327857752052
started,bundle,org.python.pydev.core,2.3.0.2011121518,"org.python.pydev.core",1327857762958
started,bundle,org.python.pydev.debug,2.3.0.2011121518,"org.python.pydev.debug",1327857762965
started,bundle,org.testng.eclipse,6.3.2.20111203_1323,"org.testng.eclipse",1327857763017
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327857777183
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.help.installationDialog",1327857815652
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327857819480
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1327857819502
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327857822729
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327858391203
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327858394310
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327858396204
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327858396364
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1327858397426
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1327858397530
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1327858397797
